             spacepy  spacepy-irbem  spiceypy1  spiceypy2     sunpy      pyspedas  |max-min|
2010-01-01 -0.001374      -0.019490   0.001713  -0.001581  0.000318 -4.710853e-08   0.021203
2010-01-02 -0.001576      -0.019360   0.001581  -0.001715  0.000366 -7.169837e-08   0.020941
2010-01-03 -0.001770      -0.019229   0.001456  -0.001841  0.000422 -9.610449e-08   0.020685
2010-01-04 -0.001957      -0.019099   0.001334  -0.001964  0.000480 -1.203063e-07   0.020434
2010-01-05 -0.002139      -0.018969   0.001213  -0.002087  0.000533 -1.442822e-07   0.020182
2010-01-06 -0.002320      -0.018840   0.001087  -0.002213  0.000575 -1.680131e-07   0.019927
2010-01-07 -0.002502      -0.018711   0.000955  -0.002346  0.000603 -1.914806e-07   0.019666
2010-01-08 -0.002686      -0.018583   0.000813  -0.002489  0.000615 -2.146667e-07   0.019395
2010-01-09 -0.002873      -0.018455   0.000660  -0.002643  0.000610 -2.375549e-07   0.019114
2010-01-10 -0.003060      -0.018327   0.000495  -0.002808  0.000589 -2.601293e-07   0.018916
2010-01-11 -0.003247      -0.018200   0.000318  -0.002986  0.000553 -2.823750e-07   0.018753
2010-01-12 -0.003431      -0.018074   0.000130  -0.003174  0.000505 -3.042782e-07   0.018579
2010-01-13 -0.003611      -0.017949  -0.000068  -0.003373  0.000447 -3.258260e-07   0.018395
2010-01-14 -0.003784      -0.017824  -0.000274  -0.003579  0.000381 -3.470066e-07   0.018205
2010-01-15 -0.003950      -0.017700  -0.000485  -0.003791  0.000309 -3.678092e-07   0.018009
2010-01-16 -0.004108      -0.017577  -0.000699  -0.004004  0.000235 -3.882236e-07   0.017812
2010-01-17 -0.004258      -0.017455  -0.000911  -0.004217  0.000160 -4.082410e-07   0.017615
2010-01-18 -0.004399      -0.017333  -0.001118  -0.004424  0.000088 -4.278533e-07   0.017421
2010-01-19 -0.004534      -0.017213  -0.001316  -0.004623  0.000019 -4.470533e-07   0.017232
2010-01-20 -0.004663      -0.017093  -0.001502  -0.004809 -0.000042 -4.658349e-07   0.017093
2010-01-21 -0.004788      -0.016974  -0.001672  -0.004980 -0.000094 -4.841925e-07   0.016974
2010-01-22 -0.004909      -0.016857  -0.001822  -0.005131 -0.000134 -5.021216e-07   0.016857
2010-01-23 -0.005029      -0.016740  -0.001950  -0.005259 -0.000159 -5.196185e-07   0.016740
2010-01-24 -0.005150      -0.016623  -0.002052  -0.005362 -0.000167 -5.366802e-07   0.016623
2010-01-25 -0.005270      -0.016508  -0.002128  -0.005439 -0.000155 -5.533043e-07   0.016508
2010-01-26 -0.005392      -0.016394  -0.002177  -0.005488 -0.000121 -5.694893e-07   0.016394
2010-01-27 -0.005512      -0.016280  -0.002199  -0.005511 -0.000064 -5.852342e-07   0.016280
2010-01-28 -0.005628      -0.016168  -0.002196  -0.005509  0.000016 -6.005388e-07   0.016184
2010-01-29 -0.005737      -0.016056  -0.002174  -0.005487  0.000118 -6.154035e-07   0.016174
2010-01-30 -0.005834      -0.015945  -0.002137  -0.005452  0.000236 -6.298291e-07   0.016181
2010-01-31 -0.005919      -0.015835  -0.002094  -0.005409  0.000361 -6.438169e-07   0.016196
2010-02-01 -0.005992      -0.015726  -0.002051  -0.005368  0.000484 -6.573688e-07   0.016210
2010-02-02 -0.006055      -0.015618  -0.002017  -0.005334  0.000595 -6.704873e-07   0.016213
2010-02-03 -0.006111      -0.015510  -0.001997  -0.005315  0.000684 -6.831751e-07   0.016194
2010-02-04 -0.006165      -0.015403  -0.001996  -0.005315  0.000746 -6.954353e-07   0.016150
2010-02-05 -0.006218      -0.015297  -0.002017  -0.005337  0.000779 -7.072715e-07   0.016076
2010-02-06 -0.006271      -0.015192  -0.002061  -0.005383  0.000782 -7.186891e-07   0.015974
2010-02-07 -0.006323      -0.015087  -0.002130  -0.005453  0.000757 -7.296874e-07   0.015843
2010-02-08 -0.006373      -0.014983  -0.002221  -0.005546  0.000706 -7.402757e-07   0.015688
2010-02-09 -0.006420      -0.014879  -0.002333  -0.005659  0.000633 -7.504571e-07   0.015512
2010-02-10 -0.006462      -0.014776  -0.002463  -0.005791  0.000541 -7.602366e-07   0.015317
2010-02-11 -0.006498      -0.014674  -0.002608  -0.005937  0.000435 -7.696190e-07   0.015109
2010-02-12 -0.006527      -0.014572  -0.002764  -0.006095  0.000318 -7.786100e-07   0.014890
2010-02-13 -0.006547      -0.014471  -0.002927  -0.006259  0.000196 -7.872147e-07   0.014666
2010-02-14 -0.006559      -0.014370  -0.003092  -0.006426  0.000070 -7.954389e-07   0.014440
2010-02-15 -0.006562      -0.014270  -0.003255  -0.006590 -0.000053 -8.032883e-07   0.014270
2010-02-16 -0.006558      -0.014170  -0.003409  -0.006746 -0.000171 -8.107687e-07   0.014170
2010-02-17 -0.006548      -0.014070  -0.003552  -0.006890 -0.000279 -8.178861e-07   0.014070
2010-02-18 -0.006532      -0.013971  -0.003677  -0.007017 -0.000375 -8.246463e-07   0.013971
2010-02-19 -0.006513      -0.013872  -0.003781  -0.007123 -0.000454 -8.310555e-07   0.013872
2010-02-20 -0.006493      -0.013774  -0.003860  -0.007204 -0.000514 -8.371198e-07   0.013774
2010-02-21 -0.006474      -0.013676  -0.003911  -0.007257 -0.000551 -8.428453e-07   0.013676
2010-02-22 -0.006456      -0.013578  -0.003932  -0.007279 -0.000562 -8.482381e-07   0.013578
2010-02-23 -0.006440      -0.013480  -0.003921  -0.007271 -0.000546 -8.533046e-07   0.013480
2010-02-24 -0.006425      -0.013383  -0.003880  -0.007231 -0.000501 -8.580508e-07   0.013383
2010-02-25 -0.006409      -0.013286  -0.003810  -0.007163 -0.000426 -8.624850e-07   0.013286
2010-02-26 -0.006390      -0.013189  -0.003715  -0.007070 -0.000323 -8.666075e-07   0.013189
2010-02-27 -0.006362      -0.013092  -0.003601  -0.006958 -0.000198 -8.704303e-07   0.013092
2010-02-28 -0.006324      -0.012996  -0.003476  -0.006835 -0.000058 -8.739577e-07   0.012996
2010-03-01 -0.006275      -0.012899  -0.003349  -0.006710  0.000086 -8.771959e-07   0.012985
2010-03-02 -0.006217      -0.012803  -0.003229  -0.006591  0.000224 -8.801508e-07   0.013027
2010-03-03 -0.006153      -0.012706  -0.003122  -0.006487  0.000345 -8.828287e-07   0.013051
2010-03-04 -0.006087      -0.012610  -0.003036  -0.006403  0.000440 -8.852358e-07   0.013051
